,p,nodes,mean,sd
0,2,10,1.26,0.314
1,2,32,1.27,0.194
2,2,100,1.22,0.292
3,2,316,1.23,0.198
4,2,1000,1.31,0.237
5,2,3162,1.26,0.309
6,2,10000,1.34,0.244
