,p,nodes,mean,sd
0,2,10,15.5,3.15
1,2,32,14.7,1.26
2,2,100,20.1,0.683
3,2,316,23.6,1.62
4,2,1000,26.4,2.87
5,2,3162,31.4,4.97
6,2,10000,70,0.764
