,p,nodes,mean,sd
0,1,10,1.14,0.269
1,1,32,1.17,0.225
2,1,100,1.24,0.235
3,1,316,1.32,0.192
4,1,1000,1.4,0.239
5,1,3162,1.34,0.355
6,1,10000,1.43,0.321
