"","min","lq","mean","median","uq","max"
"1",358.72,363.6115,426.82352,379.6415,437.739,955.735
"2",392.4,401.817,541.34666,414.926,510.871,2423.567
"3",587.197,770.721,2326.65639,1269.3785,3312.0145,9672.961
"4",635.166,1009.3475,2310.10965,1574.574,2938.185,11260.926
"5",1017.928,1052.565,1091.65087,1068.736,1102.985,1540.587
"6",2709.592,2790.108,2892.21183,2858.6385,2971.953,3332.281
"7",9181.075,10223.3265,13189.79213,11233.8505,13784.5825,46821.612
