,p,nodes,mean,sd
0,2,10,13.1,2.36
1,2,32,14.5,1.12
2,2,100,20.1,1.39
3,2,316,23.1,2.73
4,2,1000,26.7,3
5,2,3162,33.1,7.06
6,2,10000,60,16.6
