"","min","lq","mean","median","uq","max"
"1",351.132,359.212,395.9,370.5585,397.1095,656.354
"2",392.249,513.5415,1657.77054,921.8385,1985.793,11931.932
"3",571.662,612.535,658.30684,623.3465,638.489,1261.224
"4",597.911,602.713,636.00205,607.7105,617.896,1466.237
"5",1003.19,1045.3945,1181.70064,1072.846,1190.1235,2195.212
"6",2598.315,2691.2465,2817.07816,2774.542,2899.043,4046.69
"7",8713.497,9027.182,11194.66211,9254.6965,9911.458,36688.666
