"","min","lq","mean","median","uq","max"
"1",338.926,345.3945,413.74779,353.6325,410.548,918.391
"2",352.089,357.8355,413.95596,361.823,378.4955,2945.478
"3",393.449,406.0445,675.60686,454.2635,677.038,11105.966
"4",482.013,487.511,547.11758,494.7615,530.554,1206.869
"5",802.058,1326.886,3271.30265,2395.679,4197.195,11883.235
"6",1695.301,1709.1295,1812.20879,1732.448,1865.158,2589.198
"7",6162.075,7459.9175,8655.73454,7980.341,8599.844,33786.291
